in:Iteration,name,out:Surprise,out:Daylighting,out:Landmark View,out:Comfort,out:Energy Efficiency,out:#Towers,out:#Extrusions,out:#Industrial,out:#Courtyards,out:#Bar Bldgs,out:#Small Mid,out:#Infill,out:GFA,out:Street Area
56727,Design Space,0.57,54.4,155270,457,15.93,0,1,0,33,71,5,17,3415768,166513
54172,Design Space,0.57,58.11,218901,393,14.72,2,0,1,25,66,8,0,3.37E+06,225435
21404,Design Space,0.56,56.54,134650,512,15.48,0,1,2,39,62,5,17,3393419,143995
47007,Design Space,0.63,61.02,198738,325,16.4,0,1,1,25,60,7,0,2758787,263206
76192,Design Space,0.64,54.67,161581,357,20.04,0,1,0,10,24,4,212,2232061,293826
8608,Design Space,0.59,50.98,121060,513,19.51,3,1,0,17,21,2,260,2.77E+06,192128
4515,Design Space,0.62,52.63,150253,376,20.57,0,1,0,10,20,1,245,2202285,276492
9124,Design Space,0.59,53.68,188291,394,16.31,0,1,0,19,38,2,137,2785188,258118
10659,Design Space,0.56,57.59,156066,444,15.86,0,1,0,34,72,5,0,3364570,182421
6566,Design Space,0.59,53.68,188291,394,16.31,0,1,0,19,38,2,137,2785188,258118
49577,Design Space,0.59,48.01,115225,528,19.75,0,1,0,11,20,1,312,2793522,202504
22955,Design Space,0.63,51.88,169153,360,19.72,0,1,0,7,19,2,242,2217869,301683
5548,Design Space,0.63,51.94,166128,357,19.61,0,1,0,8,19,2,239,2219085,300759
83373,Design Space,0.6,53.37,158032,380,20.04,0,1,0,12,17,1,246,2205663,275674
51119,Design Space,0.6,50.62,111618,515,0,0,1,0,15,28,1,261,2779147,198542
82351,Design Space,0.58,49.71,163623,440,18.1,0,1,1,15,29,4,213,2784220,233882
14259,Design Space,0.6,49.6,101665,508,24.16,0,1,0,0,0,0,429,2257787,233570
68020,Design Space,0.58,39.83,107818,536,20.47,0,1,0,8,10,0,370,2793638,186730
13236,Design Space,0.55,56.54,134650,512,15.49,0,1,2,39,62,5,17,3393419,143995
85943,Design Space,0.59,47.67,122024,554,0,0,1,0,9,9,0,353,2807124,211817
33721,Design Space,0.59,56.07,178880,361,16.91,0,1,2,24,57,5,45,2797394,238003
47545,Design Space,0.59,58.02,175885,350,16.93,0,1,2,27,61,5,17,2794425,232033
7100,Design Space,0.62,51.56,91310,480,24.23,0,1,0,11,16,1,327,2233344,205620
64444,Design Space,0.59,45.31,109098,514,20.03,0,1,0,15,23,1,285,2805836,178241
64960,Design Space,0.61,52.04,96494,477,23.74,0,1,0,11,15,2,323,2247892,213928
13249,Design Space,0.6,48.64,127641,474,19.64,0,1,0,15,31,1,245,2764565,210274
48578,Design Space,0.59,50.98,121060,513,19.52,3,1,0,17,21,2,260,2.77E+06,192128
54210,Design Space,0.62,57.05,205996,346,0,2,2,1,19,54,5,47,2.77E+06,264726
52162,Design Space,0.43,57.84,167176,487,13.45,0,1,2,53,46,7,11,3335788,181456
42951,Design Space,0.41,61.1,178980,432,10.89,0,1,0,68,16,0,0,3367905,186994
28105,Design Space,0.59,48,115225,528,19.75,0,1,0,11,20,1,312,2793522,202504
41418,Design Space,0.6,40.85,88706,500,26.28,0,1,0,0,0,0,450,2236429,196744
3529,Design Space,0.57,55.37,221034,436,16.91,15,4,1,9,12,2,223,2.82E+06,235245
28620,Design Space,0.59,47.73,122243,549,19.8,0,1,0,6,13,0,351,2811446,217897
74701,Design Space,0.59,46.68,85418,477,0,0,1,0,13,13,0,335,2247611,183361
48077,Design Space,0.61,50.99,106699,450,23.57,0,1,0,9,18,0,321,2227372,226478
9167,Design Space,0.62,58.43,190242,331,16.5,0,1,1,24,58,7,17,2785293,258325
40909,Design Space,0.59,59.44,298530,379,14.77,20,9,1,6,20,3,135,2.79E+06,279646
59857,Design Space,0.56,59.46,242996,396,13.73,3,5,1,29,55,6,0,3.36E+06,232166
39892,Design Space,0.61,48.39,91742,515,0,0,1,0,1,4,0,414,2256600,220063
54740,Design Space,0.54,51.68,176123,354,20.97,1,3,0,3,32,8,235,2.14E+06,309082
28629,Design Space,0.55,64.08,328782,367,12.84,23,9,2,14,43,2,0,3.39E+06,263348
79323,Design Space,0.63,52.01,172673,362,0,0,1,0,7,21,2,235,2224547,307144
62939,Design Space,0.58,49.54,161357,440,18.12,0,1,1,15,29,4,213,2772498,233882
60381,Design Space,0.56,57.9,198543,399,14.97,0,1,1,30,66,8,0,3371378,207648
40415,Design Space,0.45,62.13,268934,410,0,5,5,2,25,54,11,0,3.22E+06,248481
31713,Design Space,0.54,49.07,165276,355,20.28,0,1,0,10,27,9,229,2159806,304616
22499,Design Space,0.59,53.68,188291,394,16.33,0,1,0,19,38,2,137,2785188,258118
80868,Design Space,0.6,49.73,97849,497,24.92,0,1,0,1,7,0,397,2243576,226489
48613,Design Space,0.33,56.37,114726,566,14.9,0,1,2,51,57,1,9,3375048,136510
75239,Design Space,0.63,59.71,196079,330,16.51,0,1,1,23,59,7,17,2774825,265484
80361,Design Space,0.6,49.29,101676,519,23.96,0,1,0,0,0,0,425,2271686,231224
31721,Design Space,0.61,49.69,134094,422,0,0,1,0,6,14,1,318,2249395,253800
16884,Design Space,0.62,58.32,198103,338,16.06,0,1,1,25,58,7,17,2822355,255423
66554,Design Space,0.59,47.63,122024,554,19.42,0,1,0,9,9,0,353,2807124,211817
87035,Design Space,0.59,49.39,120245,548,19.06,0,1,0,14,12,1,321,2797038,205220
16380,Design Space,0.59,48.19,114218,481,23.52,0,1,0,0,0,0,420,2250000,245156
